learnerid, totalconcepttime, totalconceptcount, complete_initial_questionaire_count, correct_answer_count, incomplete_answer_count, incorrect_answer_count, login_count, logout_count, reset_profile_count, view_concept_count, view_test_count, elgrid-easy, future-elgrid, future-use-tools, prac-apply-concepts, prac-env-easy, prac-good-eval, practical-access, practical-understood, tests-good-eval, theory-comp-prac, too-easy, too-hard, traffic-light-prac, traffic-understood, trafficlights-nav, tutor-req, projectmark, elgridmark, totalmark, gender, level
64, 3774, 51, 0, 0, 0, 0, 8, 5, 0, 73, 0, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, M, ?
65, 2625, 38, 0, 0, 0, 0, 1, 0, 0, 44, 0, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
67, 3669, 45, 0, 0, 0, 0, 1, 0, 0, 53, 0, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
68, 6516, 68, 0, 0, 0, 0, 6, 1, 1, 85, 1, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
69, 759, 36, 0, 0, 0, 0, 2, 1, 0, 52, 1, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
70, 6915, 45, 0, 0, 0, 0, 4, 1, 0, 52, 0, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
71, 8735, 116, 0, 0, 0, 0, 10, 2, 0, 148, 1, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
72, 3397, 46, 1, 11, 0, 1, 4, 0, 0, 63, 2, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
73, 2629, 39, 0, 0, 0, 0, 3, 2, 0, 44, 0, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
74, 8257, 76, 0, 0, 0, 0, 2, 0, 0, 87, 0, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
75, 6904, 139, 0, 3, 0, 0, 10, 8, 1, 167, 2, Strongly Agree, ?, ?, Strongly Agree, Strongly Agree, Strongly Agree, Strongly Agree, Strongly Agree, No answer Given, Strongly Agree, Strongly Disagree, Strongly Disagree, ?, No answer Given, Somewhat Disagree, Strongly Disagree, ?, ?, ?, M, postgrad
76, 732600, 377, 1, 0, 0, 0, 28, 0, 0, 457, 3, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, M, ?
78, 10540, 89, 1, 0, 0, 2, 1, 0, 0, 96, 7, Somewhat Agree, Strongly Agree, Strongly Agree, Somewhat Agree, Somewhat Agree, No answer Given, Strongly Agree, Somewhat Agree, No answer Given, No answer Given, Strongly Disagree, Somewhat Disagree, Somewhat Disagree, Somewhat Disagree, No answer Given, Strongly Agree, ?, ?, ?, ?, ?
79, 42683, 171, 2, 0, 0, 0, 2, 1, 0, 182, 7, Neither Agree nor Disagree, Somewhat Agree, Somewhat Agree, Somewhat Agree, Somewhat Agree, Strongly Agree, Somewhat Agree, Somewhat Agree, Somewhat Agree, Somewhat Agree, Neither Agree nor Disagree, Strongly Agree, Neither Agree nor Disagree, Neither Agree nor Disagree, Somewhat Agree, Somewhat Agree, ?, ?, ?, ?, ?
80, 2256, 34, 0, 0, 0, 0, 3, 2, 1, 39, 2, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, M, postgrad
81, 10450, 156, 1, 3, 0, 0, 1, 1, 0, 167, 8, Somewhat Agree, Strongly Agree, Somewhat Agree, Somewhat Agree, Neither Agree nor Disagree, Somewhat Agree, Somewhat Agree, Somewhat Agree, Strongly Agree, Somewhat Agree, Strongly Disagree, Strongly Disagree, Somewhat Agree, Somewhat Disagree, Somewhat Disagree, Strongly Agree, ?, ?, ?, ?, ?
82, 10170, 58, 0, 0, 0, 0, 1, 0, 0, 63, 0, Somewhat Agree, Somewhat Agree, Strongly Agree, Somewhat Agree, Somewhat Agree, Somewhat Agree, Somewhat Agree, Somewhat Agree, Somewhat Agree, Somewhat Agree, Somewhat Disagree, Strongly Disagree, Somewhat Agree, Somewhat Agree, Somewhat Agree, Somewhat Agree, ?, ?, ?, ?, ?
83, 8895, 48, 0, 0, 0, 0, 1, 0, 0, 51, 0, Somewhat Agree, Somewhat Disagree, Somewhat Agree, Somewhat Agree, Neither Agree nor Disagree, No answer Given, Somewhat Agree, Neither Agree nor Disagree, No answer Given, Neither Agree nor Disagree, Somewhat Disagree, Strongly Disagree, No answer Given, No answer Given, No answer Given, Somewhat Agree, ?, ?, ?, ?, ?
84, 10534, 42, 0, 0, 0, 0, 1, 0, 0, 47, 0, Somewhat Agree, Neither Agree nor Disagree, Somewhat Agree, Strongly Agree, Somewhat Agree, Somewhat Agree, Neither Agree nor Disagree, Strongly Agree, Neither Agree nor Disagree, Neither Agree nor Disagree, Strongly Disagree, Somewhat Agree, Neither Agree nor Disagree, Neither Agree nor Disagree, Somewhat Agree, Strongly Agree, ?, ?, ?, ?, ?
85, 8774, 55, 0, 0, 0, 0, 1, 0, 0, 60, 1, Somewhat Disagree, Neither Agree nor Disagree, Strongly Disagree, Neither Agree nor Disagree, Neither Agree nor Disagree, Neither Agree nor Disagree, Somewhat Agree, Neither Agree nor Disagree, Neither Agree nor Disagree, Neither Agree nor Disagree, Neither Agree nor Disagree, Neither Agree nor Disagree, Neither Agree nor Disagree, Neither Agree nor Disagree, Neither Agree nor Disagree, Somewhat Agree, ?, ?, ?, ?, ?
102, 275, 9, 0, 0, 0, 0, 1, 0, 0, 10, 0, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
110, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, M, ?
111, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, M, ?
112, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, M, ?
113, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
114, 3553, 108, 1, 8, 0, 3, 3, 1, 0, 126, 3, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, M, ?
115, 0, 0, 0, 0, 0, 0, 2, 1, 0, 1, 0, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, M, academic
116, 18, 3, 0, 0, 0, 0, 2, 1, 0, 5, 1, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, M, ?
117, 0, 0, 0, 0, 0, 0, 1, 1, 0, 15, 0, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, M, academic
118, 3013, 3, 0, 0, 0, 0, 1, 1, 0, 6, 0, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
124, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, postgrad
133, 5104, 67, 0, 0, 0, 0, 4, 3, 0, 73, 0, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, postgrad
135, 14, 1, 0, 0, 0, 0, 1, 1, 0, 4, 0, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, M, academic
136, 48723, 176, 1, 11, 0, 0, 10, 1, 0, 204, 2, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, M, postgrad
